SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0017129,J01718,Pegasus - Kundana East,Decline,Operating,Kundana East,121.256852,-30.737971999999996,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0018722,J00571,Marillana Creek Western Mesa 1,Openpit,Operating,Marillana Creek - Yandi / BHPB,119.000198,-22.715598999999997,Fe,Iron,IRON ORE,"EAST PILBARA, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
S0018747,J02419,Thunderbox Zone C,Openpit,Operating,Thunderbox Gold,121.007181,-28.190531,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",LAWLERS,Eastern Goldfields Superterrane
S0018779,J00276,Bakers Flat - Tarranto,Openpit,Operating,South Kalgoorlie Operations,121.26870500000001,-30.969423,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0018836,J00017,Fender,Openpit,Operating,Cue Gold - Central Murchison,117.63539899999999,-27.3442,Au Ag,Precious metal,GOLD,"CUE, SHIRE OF",CUE,Youanmi Terrane
S0018874,J00527,Amity,Decline,Operating,Golden Grove,116.964949,-28.776882,Cu Au Zn Ag Pb,Base metal,COPPER - LEAD - ZINC,"YALGOO, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0018875,J00527,Catalpa,Decline,Operating,Golden Grove,116.959301,-28.767751,Cu Au Zn Pb Ag,Base metal,COPPER - LEAD - ZINC,"YALGOO, SHIRE OF",YALGOO M.F.,Youanmi Terrane
S0018909,J05596,Kailis,Openpit,Operating,Kailis,121.288398,-28.840312,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",MT. MALCOLM,Yilgarn Craton granites
S0019030,J02247,Cosmos Deeps,Decline,Under Development,Cosmos,120.575875,-27.596973,Ni Cu Co Pt Pd,Steel alloy metal,NICKEL,"LEONORA, SHIRE OF",LAWLERS,Yilgarn Craton
S0019054,J00559,Mt Jackson J1 West (Stages 1-5),Openpit,Operating,Koolyanobbing Iron,119.16326699999999,-30.222323,Fe,Iron,IRON ORE,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0019060,J00559,Windarling W1 East,Openpit,Operating,Koolyanobbing Iron,119.26669,-30.011967,Fe,Iron,IRON ORE,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0019062,J00559,Windarling W3,Openpit,Operating,Koolyanobbing Iron,119.289272,-30.012375,Fe,Iron,IRON ORE,"YILGARN, SHIRE OF",YILGARN M.F.,Youanmi Terrane
S0019084,J00098,Waroonga Underground,Decline,Operating,Agnew - Emu,120.505798,-28.004499,Au Ag,Precious metal,GOLD,"LEONORA, SHIRE OF",LAWLERS,Yilgarn Craton
S0019222,J03930,Paraburdoo 4 West,Openpit,Operating,Paraburdoo / Rio Tinto,117.579201,-23.228270000000002,Fe,Iron,IRON ORE,"ASHBURTON, SHIRE OF",WEST PILBARA M.F.,Hamersley Basin
